gear,rpm_center,pedal_center,n_samples,eng_torque_mean,eng_torque_p50,eng_torque_p75,axle_torque_mean,cyl_airmass_mean,cyl_airmass_p50,airflow_mass_mean,map_kpa_mean,ve_mgk_kpa_mean,ve_airflow_mean,spark_mean,spark_p50,knock_p95,lambda_eq_mean,coverage_ok
5,2325.0,22.5,52,204.9340447739385,186.0412242112,197.6794157059,361.2824405137328,0.3559525290826922,0.35539704245,59.34602608992499,9.078238259734617,1692.2355257418078,55.758994747309615,18.2719622758,31.24340986395,0.0,1.0091830536288462,True
5,2325.0,27.5,21,326.1091653675809,340.6278677697,343.4775184232,735.5331618127047,0.5846480309142857,0.6112855556,91.9943972579714,12.062569794666668,1868.8925897186955,85.22567734157143,10.872032990090476,14.0,0.0,0.973055752842857,True
5,2325.0,35.0,285,353.07421008983755,374.4931438724,387.7274645789,800.8561101667998,0.6872222168638596,0.7079704082,107.9364415215772,13.515974336734386,1969.9377090661533,106.85088605478384,10.927480196321754,12.5,0.0,0.9975114198329824,True
5,2325.0,45.0,284,366.7636713355824,372.6435538914,384.84454245315,878.5167903302493,0.7104377097257043,0.7149506912,119.89223273814964,14.214536983710213,1977.3240487327632,117.34629868674364,7.239733079494014,4.9855769231,0.0,1.000756409850704,True
5,2325.0,55.0,38,377.7996784365421,384.63394302505,397.717594225375,789.1402625714185,0.71076932125,0.71375,113.0729214882605,14.36080901681842,1969.7039170887472,104.92943070879473,6.462338935573684,5.056122449,0.0,1.0064533239763158,True
5,2575.0,2.5,31,148.3120400888871,119.998230178,295.427894404,417.3548057096581,0.3010551517451613,0.3179555921,44.53991612970968,7.056302870761291,1631.1299686144516,62.56160893420968,22.35538648594193,33.3235294118,0.0,0.9958602741096774,True
5,2575.0,7.5,44,92.87236878772272,85.74038332435,109.719646297675,363.6609566260386,0.2480339557886363,0.20549736285,61.26662767101136,7.166965309202272,1582.642984021493,70.64040710975,23.25939453141818,29.0669642857,0.0,1.1407901879500002,True
5,2575.0,12.5,29,181.07588560132413,175.1556600593,199.1999371408,502.6637857729447,0.352773059137931,0.3446619955,53.25590518697586,7.477383130337932,1702.175601405824,65.88066129478965,31.32425948097586,33.8,0.0,0.931361948810345,True
5,2575.0,17.5,48,173.9310575772375,136.23487304690002,295.52796803655,577.9084844886646,0.3790494438291667,0.2748271103999999,53.8951853074,7.4236821807416655,1687.4250511354687,61.74730167818751,9.259388974335415,0.931372549,0.0,0.956206813,True
5,2575.0,22.5,60,200.03327809848835,183.96776903855,184.3505859375,514.0598978277417,0.3977692204766666,0.3582814079,62.25403724850333,8.062193231023333,1737.4904939341316,62.79702053726333,30.551193626813337,33.0,0.0,1.008099095508333,True
5,2575.0,27.5,43,238.1011424373186,219.7197574013,224.20354646385,366.1778570385581,0.483989372288372,0.4362253521,89.75992352382092,9.74030457373721,1833.5705002474413,88.61144635687442,4.550256925665116,5.3367346939,0.0,0.9672116688906978,True
5,2575.0,35.0,1639,358.57760359936026,362.2006239395,375.6441938468,921.8750774432312,0.6581356532387431,0.6549382979,110.08579375230714,12.73398748571806,1972.804314408956,109.43585152170964,16.617162903752348,18.0087719298,0.0,0.9953134471753508,True
5,2575.0,45.0,926,384.2581308901415,391.2542327786,402.35868280445,932.990919591764,0.7210680726904967,0.7243346982000001,123.49453510791426,14.109907537376785,2007.1560644668443,122.32365298679105,11.411918105415872,14.5,0.0,0.9989922206443844,True
5,2575.0,55.0,148,397.1849990299216,393.863068665,407.716774832825,934.4351291265696,0.7162954285945946,0.7167291095999999,122.0631797051919,14.374626026508782,1999.2486699379688,118.13528052273918,9.646476421389863,13.1346153846,0.0,0.9941470596871622,True
5,2575.0,65.0,30,353.76706298042336,347.9934783585,348.18582749639995,947.1312563262932,0.7148113172833332,0.7142256306999999,118.00045470902002,14.29534194042,1985.02955822525,121.14812818291333,6.410030677656666,4.09224489795,0.0,0.99588169907,True
5,2825.0,12.5,30,208.28715668951327,224.0168260596,251.201738730225,564.7840412219367,0.41880705288,0.4408880646999999,57.57291925043667,7.958717148,1762.0604552626598,74.03248485807667,22.75439273354667,26.0,0.0,0.8442278698300001,True
5,2825.0,17.5,41,198.01015758083904,188.043203125,216.3674804688,684.717997334639,0.4238052856268293,0.4042939453,55.69326096039512,7.533125704782927,1806.8871901513048,70.19887906098536,17.568890270929266,19.65625,0.0,0.8871181400609758,True
5,2825.0,27.5,82,267.95967310935487,298.384435397,303.7539160265,790.615811923928,0.5196941423621951,0.50533823525,107.1883326662378,11.335356999432928,1914.4632297348487,109.867713608139,21.240542760046345,24.33673469385,0.0,0.948007248387805,True
5,2825.0,35.0,2459,377.3084639455613,382.5544634069,387.0898994263,968.1441696072076,0.6761180812338755,0.6773721461,119.0249821521025,12.946285692712603,2010.913132243572,118.93790329990796,17.12785987539955,17.5,0.0,0.9928432452855226,True
5,2825.0,45.0,4536,399.8647540359366,402.6013724662,412.1515347359,1037.963670055946,0.7238321995981923,0.7308890218999999,132.7816936562134,14.002747174376037,2038.31120975808,132.79410499210047,14.730175738173235,15.0,0.0,0.9929077799678352,True
5,2825.0,55.0,91,411.76979407409993,418.0859375,420.37439737945,1064.0632150955594,0.7296654116505495,0.7314233491,132.87983978793628,14.394549294785712,2036.9549146385816,135.17370634999452,12.511367847223076,15.5,0.0,0.9601004316890108,True
5,2825.0,75.0,38,372.9324416503158,348.60792699355,429.766803775175,1057.3162701603053,0.7310053369447369,0.7260707547,136.37560224024472,14.281760205705265,2024.6158754839928,139.31057306376314,14.356657255005263,15.5,0.0,0.9857904412842105,True
5,3075.0,22.5,23,250.4013931091,263.3355859375,283.0550195313,767.8502404102304,0.5659195971,0.557625,85.11293538266521,9.482593965926087,1954.525160540117,102.15554488362608,16.96469407829565,19.63,0.0,0.8836241710782609,True
